      x1        x2         z
    1.6545    1.6415   -0.0756
   -2.4584    1.6415   -0.7328
   -1.1920    2.3015    0.2557
   -2.4522    1.8947   -0.7241
    0.5755   -2.3063   -0.6576
   -2.4584   -1.3680    0.7405
    0.8435   -2.6679   -0.3280
    0.5755    2.7949    0.2891
    3.0094    1.6415   -1.0567
    3.0094   -2.5350    0.5933
    3.0094    0.3058   -0.2928
    0.5755         0         0
    0.8435         0         0
   -2.4522    0.3058   -0.2482
    0.2858    2.7949    0.3506
    0.2858         0         0
   -2.4584         0         0
   -0.6370   -1.9257   -0.7784
   -2.7931    2.7949   -0.2998
    0.2858    2.2574    0.7152
   -0.6370         0         0
    3.0094   -2.3063    0.7466
   -1.1920   -2.5350   -0.2013
    0.8435    0.6573    0.4433
   -1.1920    1.6415    0.3824
    0.5755   -1.2640   -0.8334
   -0.3214   -2.6679   -0.4077
    1.6545   -1.9257    0.0853
    0.5755   -1.3680   -0.7588
    2.8433    1.6415   -0.9791
   -1.1920   -2.3063   -0.2917
   -1.9920    2.7949   -0.1268
   -0.3214    0.6573    0.6150
   -0.3214   -1.2640   -0.8756
   -2.4584    0.3058   -0.2189
   -1.9920   -2.6679    0.1710
   -2.4522    2.4471   -0.5251
   -1.9920   -1.2640    0.3548
   -0.3214    0.3058    0.3034
    2.0622   -1.9257    0.4473
   -1.1920         0         0
   -1.9920    1.8947   -0.3850
    1.6545   -0.2821    0.0221
    2.4630   -1.2640    0.6774
   -0.3214   -2.7281   -0.4190
    2.0622   -0.9405    0.3896
   -1.9920   -0.2821    0.1119
    2.0622    2.4471   -0.2943
    2.8433   -1.3680    0.8442
    1.2239    1.6415    0.3363
   -1.8210    2.3015   -0.1937
   -2.4522    2.3015   -0.6165
   -1.9920    1.1991   -0.3631
    1.2239         0         0
   -0.9285         0         0
    3.0094    2.3015   -0.7006
    1.2239   -2.6679   -0.1555
   -2.4522    1.1991   -0.7277
    0.2858    1.6415    0.9172
         0    1.6415    1.0845
   -1.9920   -1.9257    0.4145
    1.5835    1.1991   -0.0112
    0.2858    0.8913    0.7736
    2.4630    1.1991   -0.7154
   -2.4584    1.1991   -0.7417
    0.2858    0.6573    0.5624
   -2.7931    2.2574   -0.7694
   -1.5536    0.3058    0.0054
   -2.7931   -0.6306    0.6037
   -1.9920   -0.9405    0.3115
    2.0622   -2.6679    0.2052
   -1.8210    1.6415   -0.2415
    0.8435    0.8913    0.5035
   -0.3214    2.7949    0.3211
   -1.8210    0.3058   -0.0706
   -2.4584   -1.9257    0.6774
   -0.6370   -1.2640   -0.7419
    2.4630    0.6573   -0.4745
    2.4630    2.7949   -0.2824
   -2.4584    0.8913   -0.5791
   -1.8210   -0.6306    0.1351
    3.0094    2.2574   -0.8357
    2.8433    0.8913   -0.7674
   -0.9285    1.6415    0.6271
    1.5835    0.8913   -0.0101
   -2.4584   -0.6306    0.4263
    2.4630   -0.9405    0.6896
    3.0094    2.7949   -0.3677
    3.0094   -0.9405    0.8557
    2.0622         0         0
         0   -2.7281   -0.3969
    0.8435   -2.5350   -0.3914
    2.0622    0.8913   -0.3498
   -0.6370   -2.7281   -0.3227
    1.5835   -2.5350    0.0075
    2.8433    2.7949   -0.3210
    2.4630   -1.3680    0.7439
         0   -0.6306   -0.6373
    3.0094   -1.3680    0.9891
    0.8435   -0.2821   -0.1845
    2.0622   -0.6306    0.2553
    1.2239   -1.2640   -0.3043
   -1.1920   -0.2821   -0.0957
   -1.8210   -0.9405    0.1898
   -1.5536    0.6573    0.0097
   -2.4584    2.3015   -0.6074
   -1.5536   -2.7281   -0.0063
   -1.9920    1.6415   -0.3700
    0.2858   -1.3680   -0.8791
    1.2239    0.3058    0.0955
   -1.8210   -0.2821    0.0704
   -0.6370   -0.9405   -0.6812
    0.5755   -1.9257   -0.8084
    1.5835    2.7949   -0.0043
    2.8433    2.3015   -0.7221
    0.8435   -2.3063   -0.4933
    2.8433   -0.9405    0.7774
    0.8435   -1.3680   -0.6236
   -0.3214    2.2574    0.7289
    3.0094    2.4471   -0.5849
    1.6545   -0.9405    0.0695
    0.2858   -0.2821   -0.2675
   -0.6370    1.1991    0.7735
         0   -1.2640   -0.8614
    0.5755    0.3058    0.2372
   -2.4522   -0.2821    0.2120
         0    1.8947    0.8895
    2.8433   -2.3063    0.7474
   -1.8210   -2.5350    0.1376
   -0.3214    1.8947    0.8608
    3.0094   -1.9257    0.8987
    0.8435    0.3058    0.2019
   -1.5536   -2.5350   -0.0091
    0.2858    2.4471    0.6018
   -1.1920   -1.9257   -0.3264
   -0.6370   -2.6679   -0.3576
   -0.6370   -0.6306   -0.4925
   -0.6370   -1.3680   -0.8087
   -2.4522    0.6573   -0.4479
    2.0622    2.2574   -0.3647
    2.4630    0.3058   -0.2432
   -1.5536    2.3015    0.0118
   -0.6370   -2.3063   -0.6104
    3.0094         0         0
   -1.9920    2.4471   -0.2530
    1.5835         0         0
    1.6545   -2.6679    0.0350
    1.5835   -1.3680    0.0135
   -0.3214    1.6415    0.9981
   -0.9285    0.6573    0.3886
   -1.8210   -1.9257    0.2293
   -0.9285    0.3058    0.1639
    0.5755    1.8947    0.7436
    2.0622   -1.2640    0.4632
   -2.7931   -1.2640    0.9619
    2.0622    2.3015   -0.3480
   -1.8210    2.4471   -0.1593
    1.2239    1.1991    0.3245
   -1.1920   -2.6679   -0.1629
   -1.1920   -0.9405   -0.3026
   -0.9285   -1.2640   -0.5193
    2.8433   -1.9257    0.8556
    0.2858   -2.3063   -0.6981
   -2.4522   -2.5350    0.4537
         0   -1.9257   -0.9093
    1.5835   -0.6306    0.0074
    1.6545    0.6573   -0.0511
    3.0094    1.1991   -0.9625
    0.8435    1.6415    0.6950
   -1.1920    1.1991    0.3640
   -1.9920   -1.3680    0.4068
    0.5755   -2.6679   -0.3447
   -0.3214   -0.6306   -0.5541
    2.4630    0.8913   -0.5883
    2.0622    0.6573   -0.2745
   -2.4584   -1.2640    0.7850
   -2.7931    1.1991   -0.8219
   -0.9285    2.2574    0.4475
    2.8433    2.2574   -0.7380
   -2.7931   -2.7281    0.3943
   -0.6370   -2.5350   -0.4506
    0.5755   -0.6306   -0.5030
    1.6545    2.7949   -0.0268
   -1.1920   -2.7281   -0.1578
   -1.5536   -0.9405   -0.0126
    1.5835    2.4471   -0.0084
    0.8435    1.1991    0.5608
    0.8435   -0.9405   -0.5405
    2.8433   -1.2640    0.8690
   -0.9285   -0.9405   -0.4391
   -0.3214   -0.9405   -0.8322
    0.5755    0.6573    0.4651
    0.5755   -2.7281   -0.3677
   -2.7931   -2.3063    0.6744
    2.8433   -2.6679    0.4474
   -1.9920    0.3058   -0.1131
    0.5755    2.2574    0.6483
    2.0622   -2.7281    0.1839
   -2.4584    0.6573   -0.4919
    0.2858    1.1991    0.9699
    2.0622   -2.5350    0.2628
   -1.8210    1.1991   -0.2483
   -0.6370   -0.2821   -0.2276
    2.8433    1.1991   -0.9504
    0.2858   -2.5350   -0.4925
    1.2239   -2.3063   -0.2525
    1.6545   -0.6306    0.0458
    0.2858   -2.7281   -0.3746
    1.5835   -1.9257    0.0120
    1.6545   -1.2640    0.0815
   -1.1920    2.4471    0.2442
   -2.4522   -2.6679    0.3252
    2.4630    2.4471   -0.5251
    1.5835   -0.9405    0.0110
    0.8435    2.3015    0.5115
   -1.5536    0.8913    0.0143
   -1.8210    2.7949   -0.0796
   -1.5536    2.2574    0.0137
   -0.6370    1.6415    0.8669
   -1.5536         0         0
    1.2239   -0.2821   -0.0880
   -2.4522   -1.3680    0.7023
   -0.3214   -2.5350   -0.5318
    0.2858   -1.9257   -0.8600
    0.5755    2.4471    0.5761
   -1.8210    1.8947   -0.2253
    2.4630   -2.7281    0.3102
   -0.9285   -2.5350   -0.3493
    1.2239   -2.5350   -0.1971
   -2.4522    2.2574   -0.6510
    2.8433   -0.2821    0.2880
   -1.1920    0.8913    0.2722
   -1.5536    1.1991    0.0158
   -0.9285    1.1991    0.5279
   -0.9285    1.8947    0.5431
    0.5755   -0.2821   -0.2497
    0.8435    2.4471    0.4560
   -2.4522   -0.6306    0.4559
   -1.8210    0.8913   -0.1778
    3.0094    0.8913   -0.6981
   -1.5536    1.6415    0.0158
    1.5835    0.6573   -0.0077
    2.0622   -2.3063    0.3764
   -0.9285    2.4471    0.3501
   -1.9920    2.3015   -0.3096
    2.0622   -0.2821    0.1278
   -2.4522   -1.9257    0.7729
    1.6545    2.3015   -0.0610
   -1.9920    0.8913   -0.3458
   -0.3214    2.4471    0.5916
         0   -2.3063   -0.7068
   -1.5536    2.7949    0.0058
    0.5755    1.1991    0.7079
   -0.6370    2.3015    0.6584
   -0.3214    1.1991    0.9049
   -2.4522   -1.2640    0.7632
    1.2239    0.6573    0.2075
   -2.4584   -0.2821    0.2262
   -1.5536   -1.9257   -0.0166
   -1.8210   -1.3680    0.2434
   -0.6370    0.8913    0.6028
    2.8433   -2.7281    0.4155
    3.0094    1.8947   -0.8551
   -2.7931         0         0
         0         0         0
    0.8435    2.7949    0.2372
    0.8435    1.8947    0.6082
    1.2239    2.2574    0.2415
    1.2239   -1.9257   -0.3337
    2.8433    1.8947   -0.9617
         0   -2.5350   -0.5291
   -0.3214    2.3015    0.6739
   -0.6370    2.4471    0.4911
   -1.8210    0.6573   -0.1621
         0   -0.2821   -0.2871
   -1.9920   -2.3063    0.2941
    2.0622   -1.3680    0.4460
    3.0094   -1.2640    1.0209
   -0.9285   -2.7281   -0.2256
    0.2858   -0.9405   -0.8094
   -2.4522    1.6415   -0.7892
    1.6545    2.4471   -0.0546
    1.5835   -0.2821    0.0033
   -1.9920   -2.5350    0.2489
   -0.6370    2.7949    0.2837
    3.0094   -2.6679    0.4962
   -2.7931    1.8947   -0.9611
   -1.5536    1.8947    0.0150
   -2.4522   -2.3063    0.6233
   -1.9920   -2.7281    0.1519
    1.2239   -0.6306   -0.2012
   -2.4522   -2.7281    0.2996
   -2.7931   -1.9257    0.9086
   -2.4584    2.7949   -0.2716
   -2.4584   -2.6679    0.3263
   -2.4522    0.8913   -0.5752
